Num_Acc;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma
202200000195;3;-1;2;0;1;1; -1;1;0;1;50
202200000196;4;2;2;0;2;1; -1;1;5;1;50
202200000197;2;3;4;0;1;1; -1;1;0;1;50
202200000198;3;2;2;0;1;1; -1;1;0;1;50
202200000199;4;2;2;2;1;1; -1;1;0;1;50
202200000200;4;1;1;0;1;1; -1;1;0;1;50
202200000201;3;2;5;3;1;1; -1;1;0;1;50
202200000202;3;1;0;0;1;1; -1;1;0;1;50
202200000203;3;2; -1;0;1;1; -1;1;0;1;50
202200000204;4;1;2;1;1;1; -1;1;6;1;50
202200000205;3;2;4;0;1;1; -1;1;0;1;50
202200000206;3;2;2;0;1;2; -1;1;4;4;50
202200000207;3;2;2;0;1;1; -1;1;2;3;80
202200000208;3;2;2;0;1;1; -1;1;0;3;80
202200000209;2;2;2;0;2;3; -1;2;0;5;80
202200000210;3;2;2;0;2;3; -1;1;0;3;50
202200000211;3;2;2;0;1;3; -1;1;0;1;80
202200000212;2;3;4;0;1;1; -1;1;0;1;110
202200000213;2;3;4;0;3;2; -1;1;0;3;110
202200000214;3;2;2;0;2;1; -1;1;0;1;50
202200000215;3;2;2;0;1;1; -1;1;0;3;50
202200000216;4;2;2;0;2;3;"3;75";1;0;1;80
202200000217;4;2;2;0;1;1;5;1;0;1;50
202200000218;3;2;2;0;3;2; -1;1;0;1;50
202200000219;2;2;2;0;1;2;7;1;0;1;50
202200000220;3;2;2;0;2;1; -1;1;2;1;50
202200000221;3;2;2;0;1;3; -1;1;0;3;80
202200000222;3;2;2;0;1;3; -1;1;5;1;50
202200000223;3;1;2;0;1;1; -1;1;0;1;30
202200000224;3;2;2;0;1;1; -1;1;0;1;30
202200000225;3;2;2;0;1;3; -1;1;0;3;80
202200000226;3;2;2;0;2;2; -1;1;0;1;50
202200000227;3;2;2;0;1;1; -1;1;2;3;80
202200000228;3;2;2;0;1;1; -1;1;0;3;90
202200000229;3;2;2;0;1;3; -1;1;0;1;80
202200000230;3;2;2;0;1;1;"5;5";1;0;1;50
202200000231;3;-1;2;0;1;1; -1;1;0;1;50
202200000232;3;2;2;0;1;2; -1;1;0;8;80
202200000233;3;2;2;0;3;1; -1;1;0;1;80
202200000234;1;1;2;0;1;1; -1;1;0;2;130
202200000235;3;2;2;0;1;2;6;1;0;8;80
202200000236;3;2;2;0;2;2; -1;1;0;1;80
202200000237;2;1;2;0;1;1;"10;5";1;3;1;90
202200000238;2;2;2;0;2;1; -1;1;0;1;60
202200000239;2;2;2;0;2;1;5;1;0;1;70
202200000240;3;3;4;0;2;1; -1;1;0;1;90
202200000241;3;2;2;0;1;1;"5;5";1;0;1;80
202200000242;2;2;2;0;1;2; -1;1;0;3;80
202200000243;2;2;4;-1;1;1; -1;1;0;8;-1
202200000244;3;3;2;0;1;1; -1;1;5;1;50
202200000245;7;1;2;0;3;2; -1;1;0;1;50
202200000246;3;2;1;0;1;1;3;1;0;1;70
202200000247;3;1;2;0;1;1; -1;1;0;3;90
202200000248;3;2;2;0;2;1; -1;1;0;1;50
202200000249;3;2;2;0;2;2; -1;1;0;1;80
202200000250;3;2;1;0;1;1;4;1;0;1;50
202200000251;3;2;2;0;2;2; -1;1;0;1;80
202200000252;2;3;4;0;1;1; -1;1;0;1;110
202200000253;3;2;2;0;1;1; -1;1;8;1;50
202200000254;3;2;2;0;1;1; -1;1;0;1;80
202200000255;3;2;2;0;1;3; -1;1;0;1;50
202200000256;4;3;2;0;1;1;5;1;0;1;50
202200000257;3;1;1;0;1;3; -1;1;0;1;50
202200000258;1;-1;3;0;3;1; -1;1;0;1;110
202200000259;1;1;2;0;1;1; -1;1;2;1;70
202200000260;1;1;5;3;1;1; -1;1;0;8;110
202200000261;1;3;6;0;1;1; -1;1;0;1;90
202200000262;1;3;4;0;1;3; -1;1;0;1;90
202200000263;2;3;4;0;1;1; -1;1;0;1;90
202200000264;1;-1;5;0;1;1; -1;1;0;1;110
202200000265;1;3;3;0;1;1; -1;1;0;1;90
202200000266;4;2;2;0;1;1; -1;1;0;1;50
202200000267;4;2;2;0;1;1; -1;1;0;1;50
202200000268;4;2;2;0;1;1; -1;1;0;1;50
202200000269;7;2;2;0;1;3; -1;1;0;1;50
202200000270;4;2;2;3;1;1; -1;1;0;1;50
202200000271;4;1;1;2;1;1; -1;1;0;1;30
202200000272;4;2;3;2;1;1; -1;1;0;1;50
202200000273;3;-1;1;0;2;1; -1;1;0;1;50
202200000274;2;3;3;0;1;1; -1;1;9;1;30
202200000275;3;-1;2;0;2;1; -1;1;0;1;50
202200000276;3;2;2;0;1;3; -1;1;0;1;80
202200000277;4;-1;2;0;2;1; -1;1;0;1;50
202200000278;3;2;2;0;1;1; -1;1;0;1;80
202200000279;2;2;2;0;1;1; -1;1;1;1;50
202200000280;4;2;2;0;1;1;4;1;0;1;80
202200000281;3;2;2;0;1;1; -1;1;2;3;70
202200000282;2;2;0;0;1;1; -1;2;0;8;50
202200000283;3;2;2;0;1;1; -1;2;0;1;80
202200000284;4;2;2;1;1;3;5;1;0;1;50
202200000285;4;2;3;0;1;1; -1;1;0;1;50
202200000286;3;2;2;0;1;1; -1;1;0;1;50
202200000287;3;2;2;0;1;1; -1;1;0;1;30
202200000288;4;2;2;0;2;2; -1;1;0;1;80
202200000289;3;2;2;0;2;1; -1;2;0;1;50
202200000290;4;1;2;0;1;1; -1;1;0;1;50
202200000291;3;2;3;0;1;1; -1;1;0;1;80
202200000292;3;3;2;0;1;3; -1;1;0;8;80
202200000293;3;2;1;0;1;1;"3;5";1;0;1;80
202200000294;4;2;2;0;1;1; -1;1;0;1;30
202200000295;3;2;2;0;1;1; -1;1;5;1;70
202200000296;1;3;4;0;1;1; -1;1;0;1;130
202200000297;7;2;2;0;2;1; -1;1;0;1;50
202200000298;1;1;3;0;1;3; -1;1;1;1;70
202200000299;7;2;2;0;1;1; -1;1;-1;1;50
202200000300;1;3;2;0;1;3; -1;1;0;1;90
202200000301;4;2;1;0;1;1; -1;1;0;1;50
202200000302;1;1;1;0;2;1; -1;2;0;1;90
202200000303;4;1;1;2;1;1; -1;1;0;1;50
202200000304;1;1;3;0;1;1; -1;1;0;1;90
202200000305;3;2;2;2;1;1; -1;1;0;1;80
202200000306;1;1;3;0;1;1; -1;1;1;1;90
202200000307;4;2;2;2;1;1; -1;1;0;1;50
202200000308;1;3;6;0;1;1; -1;1;3;1;90
202200000309;4;2;2;0;1;1; -1;1;0;1;50
202200000310;1;3;6;0;1;1; -1;1;0;1;110
202200000311;3;-1;2;0;2;1; -1;1;0;1;70
202200000312;4;1;1;0;2;3; -1;1;0;1;30
202200000313;4;2;2;0;1;1; -1;1;0;1;50
202200000314;1;3;5;0;1;1; -1;1;1;1;70
202200000315;3;-1;2;0;1;1; -1;1;0;1;50
202200000316;2;3;6;0;2;1; -1;1;0;1;90
202200000317;4;2;2;0;1;1; -1;1;0;1;20
202200000318;1;1;3;0;1;1; -1;1;0;1;90
202200000319;9;2;0;1;1;1; -1;1;5;5;10
202200000320;3;2;4;0;1;1; -1;1;5;1;50
202200000321;2;1;2;0;1;1; -1;1;0;1;110
202200000322;4;1;1;0;1;1; -1;1;0;1;30
202200000323;3;3;2;0;1;1; -1;1;0;4;30
202200000324;1;2;6;0;1;1; -1;1;0;1;90
202200000325;4;1;2;3;1;1; -1;1;0;1;50
202200000326;1;3;8;0;1;1; -1;1;2;1;90
202200000327;1;3;0;0;1;1; -1;1;2;1;90
202200000328;1;3;8;0;1;1; -1;1;1;1;90
202200000329;4;1;2;1;1;1; -1;1;0;1;30
202200000330;7;2;2;0;1;1; -1;1;0;3;80
202200000331;2;3;4;0;1;1; -1;1;0;1;90
202200000332;4;3;3;2;1;2; -1;1;8;5;50
202200000333;1;3;6;0;1;3; -1;1;0;1;70
202200000334;7;2;2;0;1;1; -1;1;0;1;50
202200000335;1;3;5;0;3;2; -1;1;0;1;90
202200000336;1;3;3;0;1;1; -1;1;0;8;130
202200000337;3;2;2;0;1;1; -1;1;0;3;50
202200000338;2;1;2;0;1;3; -1;1;3;1;50
202200000339;4;1;1;2;1;1; -1;1;9;1;50
202200000340;7;2;4;3;1;1; -1;2;0;1;30
202200000341;4;1;2;0;1;2; -1;1;0;1;50
202200000342;4;1;1;0;1;1; -1;1;0;1;50
202200000343;4;3;6;0;1;1; -1;1;0;1;50
202200000344;3;2;3;0;2;1; -1;1;5;1;50
202200000345;2;2;2;0;1;1; -1;1;0;1;50
202200000346;4;2;2;1;1;3; -1;1;0;1;50
202200000347;4;2;2;0;2;1; -1;1;0;1;50
202200000348;2;2;2;2;1;1; -1;1;0;5;70
202200000349;2;2;2;0;2;1; -1;1;8;1;50
202200000350;3;2;2;0;1;1; -1;1;0;1;50
202200000351;4;2;2;0;2;1; -1;1;0;1;50
202200000352;3;1;2;0;1;1; -1;1;0;1;30
202200000353;3;-1;0;0;1;2; -1;1;5;4;50
202200000354;4;2;2;0;2;1; -1;1;0;1;50
202200000355;4;-1;2;0;1;1; -1;1;0;1;50
202200000356;4;1;1;0;1;1; -1;1;0;1;50
202200000357;7;1;2;0;1;1; -1;1;0;1;50
202200000358;4;1;1;0;1;1; -1;1;5;1;50
202200000359;3;1;2;0;1;2; -1;1;0;1;50
202200000360;4;2;3;0;1;1; -1;1;0;1;50
202200000361;4;2;3;0;1;1; -1;1;0;1;50
202200000362;4;2;2;0;1;2; -1;1;0;1;30
202200000363;4;-1;1;2;1;1; -1;1;0;1;50
202200000364;3;2;4;0;1;1; -1;1;0;1;50
202200000365;7;3;5;1;1;1; -1;1;0;1;50
202200000366;4;2;2;0;1;1; -1;1;0;1;50
202200000367;4;2;2;0;1;1; -1;1;0;1;30
202200000368;4;1;2;0;1;1; -1;1;0;1;30
202200000369;4;2;2;2;1;1; -1;1;0;1;50
202200000370;4;2;2;0;1;1; -1;1;0;1;50
202200000371;7;2;4;1;1;1; -1;2;0;1;50
202200000372;7;2;2;0;1;1; -1;1;0;1;50
202200000373;4;1;1;1;1;1; -1;1;0;1;50
202200000374;7;2;2;0;1;2; -1;1;0;1;50
202200000375;3;2;4;0;1;3; -1;1;0;1;90
202200000376;4;2;2;0;1;1; -1;1;0;1;50
202200000377;4;-1;2;0;1;1; -1;1;-1;1;50
202200000378;4;2;2;0;1;1; -1;1;0;1;50
202200000379;4;1;2;0;4;3; -1;1;5;1;50
202200000380;4;2;4;2;1;2; -1;1;0;5;50
202200000381;4;2;3;1;1;1; -1;1;9;5;30
202200000382;4;2;4;0;1;1; -1;1;0;1;50
202200000383;4;-1;2;0;2;1; -1;1;0;1;50
202200000384;3;1;2;0;1;1; -1;1;0;1;50
202200000385;4;3;2;0;1;1; -1;1;0;1;50
202200000386;4;3;2;0;1;1; -1;1;5;1;50
202200000387;4;-1;2;0;1;1; -1;1;0;8;50
202200000388;3;3;4;0;1;1; -1;1;0;1;50
202200000389;4;1;2;0;1;1; -1;2;0;1;50
202200000390;4;2;1;0;2;1; -1;1;0;3;50
202200000391;4;1;4;0;1;1; -1;1;0;1;70
202200000392;4;2;2;0;1;1; -1;1;0;1;30
202200000393;4;2;2;0;1;1; -1;1;0;1;30
202200000394;4;2;3;1;1;1; -1;1;-1;5;30
202200000395;4;1;4;0;2;1; -1;1;0;1;70
202200000396;4;2;2;0;1;1; -1;1;0;1;30
202200000397;4;1;4;0;1;1; -1;1;0;1;30
202200000398;4;2;2;1;1;1; -1;1;0;5;30
202200000399;4;2;4;0;1;1; -1;1;0;1;30
202200000400;4;2;3;0;1;1; -1;1;0;1;30
202200000401;4;2;8;0;1;1; -1;1;0;1;30
202200000402;4;2;3;1;1;1; -1;1;5;5;30
202200000403;4;2;3;3;1;1; -1;1;0;6;30
202200000404;4;1;4;1;1;1; -1;1;0;5;30
202200000405;4;2;4;1;1;1; -1;1;-1;5;30
202200000406;4;2;2;1;1;1; -1;1;-1;5;30
202200000407;4;2;4;1;1;1; -1;1;-1;5;30
202200000408;3;2;2;0;1;1; -1;1;0;1;50
202200000409;3;2;2;0;2;1; -1;1;0;1;50
202200000410;3;1;1;0;1;1; -1;1;0;1;50
202200000411;4;2;2;0;2;1; -1;1;0;1;30
202200000412;3;-1;1;1;1;1; -1;1;0;1;30
202200000413;3;1;3;0;1;1; -1;1;0;1;50
202200000414;3;-1;2;2;1;2; -1;1;5;1;50
202200000415;4;2;3;1;1;1; -1;1;0;6;30
202200000416;3;2;2;0;1;2; -1;1;2;1;50
202200000417;3;2;2;0;1;1; -1;1;0;1;50
202200000418;4;2;2;0;1;1; -1;1;0;1;50
202200000419;3;2;2;1;1;1; -1;1;0;1;50
202200000420;4;1;1;0;1;1; -1;1;0;1;50
202200000421;4;2;2;0;1;1; -1;2;0;1;30
202200000422;3;2;2;0;1;1; -1;1;0;1;50
202200000423;3;2;1;0;1;1; -1;1;0;1;50
202200000424;4;1;1;0;1;1; -1;1;0;1;50
202200000425;4;2;2;0;1;1; -1;1;0;1;50
202200000426;4;1;1;2;1;1; -1;1;0;1;50
202200000427;3;2;2;0;2;1; -1;1;0;1;80
202200000428;3;2;2;0;1;1; -1;1;0;1;80
202200000429;3;3;1;0;1;1; -1;1;0;1;70
202200000430;3;2;2;0;2;1; -1;1;0;1;-1
202200000431;4;2;2;0;1;1; -1;1;0;1;50
202200000432;1;3;3;0;1;1; -1;1;0;1;130
202200000433;3;2;2;0;2;3; -1;1;0;1;70
202200000434;3;2;2;0;1;1; -1;1;0;1;50
202200000435;3;2;2;0;1;1; -1;1;0;1;80
202200000436;3;2;2;0;2;1; -1;1;0;1;70
202200000437;1;3;5;0;1;3; -1;1;0;1;90
202200000438;4;2;2;0;1;1;"5;5";1;0;1;50
202200000439;3;2;2;0;4;2; -1;1;0;3;80
202200000440;3;2;2;0;1;1; -1;1;0;1;80
202200000441;2;2;2;0;4;1; -1;1;0;1;80
